Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL
0.05, 0, 0, 0.03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.09999999, -0.1050339, 0.1409353, 0.05498235, -0.0006981317, 0.09063494, -0.134722, 0.01967022, 0.002565634, -0.009390145, 0.009322575, -0.009541699, 0.008596435, 
0.15, -0.1807463, 0.2371902, 0.07351844, -0.001884956, 0.1217542, -0.1785123, 0.03901538, 0.007138397, -0.01673086, 0.0168102, -0.01763262, 0.01595072, 
0.2, -0.258588, 0.3157475, 0.0907121, -0.001710423, 0.176191, -0.2104518, 0.05620262, 0.009180432, -0.02334432, 0.02321026, -0.02446923, 0.02202873, 
0.25, -0.3391349, 0.3972718, 0.1052755, -0.001396263, 0.2721492, -0.3033208, 0.07107289, 0.008395034, -0.02860119, 0.02849142, -0.0297022, 0.02734127, 
0.3, -0.4091052, 0.4628438, 0.1171193, -0.001186824, 0.3512824, -0.3795218, 0.08285792, 0.008412487, -0.03298242, 0.0328879, -0.0342505, 0.03157911, 
0.35, -0.4692143, 0.5165825, 0.1271097, -0.0009948376, 0.4168893, -0.4433311, 0.09347636, 0.009215338, -0.03663529, 0.03655556, -0.03827094, 0.03488926, 
0.4, -0.5202303, 0.5610535, 0.1355397, -0.0008377581, 0.4716927, -0.4973839, 0.1028698, 0.01027999, -0.03968292, 0.03961536, -0.04175453, 0.03751928, 
0.45, -0.5624673, 0.5976008, 0.1426058, -0.000715585, 0.5213647, -0.5435828, 0.1101006, 0.009232791, -0.04220838, 0.0421561, -0.04411634, 0.0402443, 
0.5, -0.5983512, 0.6275855, 0.1485895, -0.000593412, 0.5621356, -0.5824687, 0.1165755, 0.00884882, -0.0443145, 0.04427562, -0.0462353, 0.0423694, 
0.55, -0.6283011, 0.6525961, 0.1536272, -0.0005061455, 0.5960299, -0.6152635, 0.1222757, 0.008970993, -0.04607138, 0.04604406, -0.04814186, 0.04400397, 
0.6, -0.6532243, 0.6735051, 0.1578497, -0.000418879, 0.6240774, -0.6430142, 0.1272452, 0.009459685, -0.04753556, 0.04752064, -0.04984911, 0.04525042, 
0.65, -0.6739414, 0.6909235, 0.1613874, -0.0003490658, 0.6472204, -0.6667158, 0.131579, 0.01019272, -0.04875648, 0.04875265, -0.05137247, 0.04619173, 
0.7, -0.6911679, 0.7054446, 0.1643482, -0.000296706, 0.6662271, -0.6869616, 0.1353398, 0.01104793, -0.04977451, 0.04978046, -0.05272625, 0.04689566, 
0.7500001, -0.7054446, 0.7175397, 0.1668244, -0.0002443461, 0.6818652, -0.7043102, 0.1385893, 0.01195551, -0.05062366, 0.05063767, -0.0539238, 0.04741562, 
0.8000001, -0.7172954, 0.7276103, 0.1688931, -0.0002094395, 0.6947109, -0.7191629, 0.1413873, 0.01288053, -0.05133232, 0.05135241, -0.05497872, 0.04779418, 
0.8500001, -0.7271216, 0.7360053, 0.1706201, -0.0001570796, 0.7052701, -0.7318863, 0.1437893, 0.01377065, -0.0519235, 0.05194826, -0.05500003, 0.04806457, 
0.9000001, -0.7352723, 0.7430041, 0.1720613, -0.000122173, 0.7139618, -0.7427772, 0.1458458, 0.01464331, -0.05241669, 0.05244506, -0.05499998, 0.04825284, 
0.9500001, -0.7420267, 0.7488335, 0.173263, -0.0001047198, 0.7211351, -0.7520972, 0.147603, 0.01546362, -0.05282803, 0.0528594, -0.05499998, 0.0483794, 
1, -0.7476292, 0.7536855, 0.1742651, -6.981317E-05, 0.7270519, -0.7600909, 0.1491016, 0.01623156, -0.05317109, 0.05320477, -0.05500004, 0.04845964, 
1.05, -0.7522893, 0.7577347, 0.1751001, -5.235988E-05, 0.7319387, -0.7669151, 0.15, 0.01692969, -0.05345712, 0.05349249, -0.055, 0.04850574, 
1.1, -0.7561465, 0.7611032, 0.1757958, -3.490658E-05, 0.7359878, -0.7727445, 0.15, 0.01757547, -0.05369572, 0.05373219, -0.05500001, 0.04852736, 
1.15, -0.7593404, 0.7639132, 0.1763752, 0, 0.7393215, -0.7777012, 0.1499997, 0.01815142, -0.0538946, 0.05393182, -0.055, 0.04853208, 
1.2, -0.761906, 0.7663217, 0.1768568, 0, 0.7423758, -0.7819424, 0.1499999, 0.01869248, -0.05405992, 0.05409893, -0.05499998, 0.04851767, 
1.25, -0.7640877, 0.7683463, 0.177284, 0, 0.7447495, -0.7855203, 0.15, 0.01916372, -0.05419767, 0.05423734, -0.055, 0.04849959, 
1.3, -0.7661471, 0.7698996, 0.177624, 0, 0.7464249, -0.7885921, 0.1499999, 0.01954769, -0.05431239, 0.05435257, -0.05500004, 0.04848489, 
1.35, -0.7682939, 0.7717846, 0.1778637, 1.745329E-05, 0.7498807, -0.7879115, 0.1496249, 0.01626647, -0.0544094, 0.05444911, -0.05499999, 0.04955078, 
1.4, -0.7702312, 0.7731808, 0.1781176, 1.745329E-05, 0.7537029, -0.7870911, 0.1494656, 0.01357866, -0.05449134, 0.05452935, -0.05500009, 0.05042632, 
1.45, -0.7747167, 0.7766192, 0.1783349, 0.003944444, 0.7602305, -0.7890808, 0.1493656, 0.007452555, -0.05455658, 0.05459702, -0.05500005, 0.05113948, 
1.5, -0.777614, 0.7799004, 0.1785026, 0.007278023, 0.7651175, -0.7910356, 0.1492824, 0.002321288, -0.05461343, 0.05465292, -0.05500001, 0.05171477, 
1.55, -0.7795862, 0.78285, 0.1786408, 0.01007055, 0.7688349, -0.7928507, 0.1492262, -0.001902409, -0.05466184, 0.05469947, -0.05500005, 0.05218036, 
1.6, -0.7810174, 0.7854156, 0.1787561, 0.01240929, 0.7716973, -0.7945088, 0.1491887, -0.005410521, -0.05470233, 0.05473815, -0.05499999, 0.05255837, 
1.649999, -0.7820995, 0.7875972, 0.1788526, 0.01436406, 0.7739139, -0.7959574, 0.1491668, -0.008307767, -0.05473614, 0.05477025, -0.05500004, 0.05286566, 
1.699999, -0.785817, 0.7917337, 0.178927, 0.01991421, 0.7784517, -0.8001112, 0.1491596, -0.01466077, -0.05476137, 0.05479768, -0.05499998, 0.05310985, 
1.749999, -0.7880511, 0.7956257, 0.1789895, 0.02460914, 0.7813839, -0.8040208, 0.1491697, -0.01998402, -0.05478556, 0.05482057, -0.05500006, 0.05330022, 
1.799999, -0.7894473, 0.799099, 0.1790453, 0.02853613, 0.7833212, -0.807494, 0.1491935, -0.02441716, -0.05480639, 0.05483977, -0.05500006, 0.05344933, 
1.849999, -0.7903724, 0.802101, 0.1790923, 0.03181735, 0.7846302, -0.8105484, 0.149222, -0.0280998, -0.05482381, 0.0548556, -0.05500001, 0.05356672, 
1.899999, -0.7910181, 0.804684, 0.1791322, 0.03454006, 0.7855726, -0.8131663, 0.149251, -0.03115413, -0.05483817, 0.0548686, -0.05500005, 0.05365947, 
1.949999, -0.7943866, 0.8091347, 0.1791587, 0.04075344, 0.789011, -0.8182976, 0.1492821, -0.03764675, -0.05484708, 0.0548798, -0.05500005, 0.05372697, 
1.999999, -0.796289, 0.813306, 0.1791821, 0.04598942, 0.7910356, -0.8229926, 0.1493205, -0.04310963, -0.0548579, 0.05488957, -0.05500007, 0.05377234, 
2.049999, -0.7974235, 0.8170061, 0.1792048, 0.0503702, 0.7922224, -0.8271464, 0.1493661, -0.04764749, -0.05486752, 0.05489762, -0.05500003, 0.05380177, 
2.099999, -0.798139, 0.8202174, 0.1792247, 0.05403539, 0.792938, -0.8307418, 0.1494105, -0.05143485, -0.0548754, 0.05490412, -0.05499995, 0.05382046, 
2.149999, -0.7986103, 0.8229576, 0.1792415, 0.05708972, 0.7933569, -0.8338135, 0.1494506, -0.05457645, -0.05488163, 0.05490929, -0.05499996, 0.05383188, 
